state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
10.0,9.0,5.0,21595.0,19789.0,5.0,75.92
10.0,7.0,7.0,16154.0,16051.0,5.0,135.14
13.0,2.0,10.0,619.0,539.0,5.0,247.58
17.0,14.0,19.0,4942.0,4882.0,5.0,115.03
9.0,25.0,6.0,3202.0,2771.0,5.0,195.57
17.0,35.0,1.0,17710.0,17689.0,6.0,209.77
10.0,3.0,12.0,40286.0,40234.0,6.0,70.71
10.0,8.0,9.0,18930.0,18903.0,6.0,116.55
17.0,36.0,1.0,10153.0,10037.0,6.0,204.23
10.0,29.0,11.0,9054.0,8780.0,7.0,163.73
9.0,20.0,8.0,16393.0,13865.0,7.0,185.87
9.0,19.0,9.0,7473.0,6593.0,7.0,187.36
10.0,15.0,3.0,33566.0,31387.0,7.0,120.16
10.0,17.0,1.0,22832.0,22010.0,8.0,103.65
9.0,10.0,5.0,9668.0,8054.0,8.0,175.25
8.0,12.0,5.0,587.0,587.0,1329.0,1430.231687
8.0,1.0,12.0,1298.0,1298.0,1366.5,1459.163328
8.0,31.0,4.0,365.0,365.0,1388.0,1187.520548
8.0,36.0,5.0,426.0,426.0,1391.0,1566.075117
9.0,22.0,31.0,226.0,226.0,1413.0,1592.482301
8.0,37.0,2.0,476.0,476.0,1414.0,1470.044118
9.0,39.0,2.0,454.0,453.0,1428.0,1402.763797
18.0,21.0,4.0,6047.0,5105.0,1554.0,1516.113222
11.0,27.0,3.0,8747.0,8607.0,1569.0,1591.650633
8.0,17.0,9.0,311.0,311.0,1629.0,1659.077170
8.0,1.0,11.0,153.0,153.0,1750.0,1714.026144
9.0,38.0,35.0,412.0,411.0,1827.0,1781.309002
8.0,9.0,8.0,292.0,292.0,1926.0,1810.273973
8.0,6.0,11.0,385.0,385.0,1927.0,2053.067532
8.0,1.0,15.0,170.0,170.0,2320.0,2099.605882